variable,n_differences
AAI01FL,43331
EVAL01FL,43331
INCL3FL,43331
INCL4FL,43331
INCL5FL,43331
EXCL3FL,43257
EXCRIT3,43257
RFENTM,43257
EXCL4FL,43226
EXCL5FL,43226
EXCRIT4,43226
EXCRIT5,43226
RFENDT,43226
V02DT,43081
RFPENDT,42703
TRTEDTM,22022
TRTEDT,22008
TRTETM,21937
BMICAT,15028
BLDV6DT,14198
BLDV6FL,14182
INCL9FL,13654
V01DT,13413
EXCL9FL,9194
EXCRIT9,9194
COVBLST,7431
NIGV1FL,7310
DS30KFL,7219
BLDV7DT,6824
BLDV7FL,6824
EXCL8FL,5315
EXCRIT8,5315
TR01EDTM,4910
TR01ETM,4891
TR01EDT,4889
AAI2EFFL,4855
VAX102DT,4843
VAX102,4842
EVALEFFL,4770
INCL7FL,4706
INVNAM,2501
EOSDCRS,1229
EOSDCDT,1222
EXCRIT6,956
NAATNFL,905
EXCL7FL,798
EXCRIT7,798
DVSTDT,659
EXCL6FL,651
INCL6FL,651
INVID,585
AAI02FL,581
INCL8FL,581
EOTDCRS,574
EVAL02FL,551
EOTDCDT,545
COMBODFL,97
SITEID,57
AAI1EFFL,48
RFSTTM,42
TR01SDTM,42
TR01STM,42
TRTSDTM,42
TRTSTM,42
ARACE,37
ARACEN,37
RACE,37
RACEN,37
DTHDT,34
DTHDTC,34
DTHFL,34
AGE,32
AGETR01,32
JPNFL,29
EXCL1FL,27
EXCRIT1,27
INCL1FL,27
ETHNIC,19
ETHNICN,19
RACEGR1,17
RACEGR1N,17
SAFFL,15
BLDV1DT,12
EXCL2FL,11
EXCRIT2,11
INCL2FL,10
MULENRFL,10
AGEGR1,8
AGEGR1N,8
BLDV1FL,8
BMICATN,7
RANDNO,6
ARM,5
ARMCD,5
TRT01P,5
TRT01PN,5
VAX101,5
ACTARM,4
ACTARMCD,4
SEX,4
SEXN,4
TRT01A,4
TRT01AN,4
RFICDT,3
TR01SDT,3
TRTSDT,3
VAX101DT,3
RANDDT,2
RANDFL,1
RFSTDT,1
