File,Trial Site ID,Subjects Screened,Subjects Randomized
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1231,5896,5776
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1226,1359,1351
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1241,1568,1549
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1185,67,66
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1194,106,104
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1195,158,158
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1197,100,100
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1202,13,12
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1203,70,60
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1229,217,210
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1230,224,210
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1246,141,130
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1247,260,250
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1205,80,80
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1207,69,69
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1208,55,55
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1209,21,21
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1210,62,62
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1212,36,36
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1213,60,60
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1214,55,55
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1217,62,62
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1001,149,115
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1002,87,57
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1003,210,170
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1005,399,389
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1006,178,168
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1007,459,412
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1008,746,745
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1009,261,252
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1011,236,227
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1012,188,184
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1013,814,795
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1015,266,264
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1016,347,336
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1018,351,326
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1019,323,315
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1021,252,252
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1022,177,170
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1024,132,128
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1027,216,215
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1028,296,289
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1030,158,156
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1036,145,141
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1037,360,349
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1038,141,127
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1039,240,224
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1042,269,245
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1044,230,226
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1046,340,337
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1047,332,327
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1048,133,131
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1052,178,175
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1054,214,204
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1055,247,246
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1056,643,611
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1057,362,357
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1066,390,387
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1068,118,117
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1071,249,237
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1072,101,101
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1073,130,124
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1077,270,261
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1079,316,309
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1080,223,217
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1081,212,210
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1082,224,214
125742_S1_M5_5351_c4591001-fa-interim-investigators.pdf,1083,280,254
