"SITEID","Offset_Investigator","Offset_Discontinuations","ADSL_randomized","M6_investig_randomized"
1231,161,48,5776,5615
1226,15,10,1352,1336
1241,5,6,1548,1544
1185,3,1,66,63
1194,2,1,104,102
1195,2,1,158,156
1203,1,0,60,59
1229,4,3,211,206
1230,5,3,210,205
1246,1,1,130,129
1247,2,2,249,248
1205,1,1,80,79
1207,2,1,69,67
1208,1,NA,55,54
1209,1,0,21,20
1210,0,NA,62,62
1212,1,1,36,35
1213,5,NA,60,55
1214,1,NA,55,54
1217,1,1,62,61
1001,3,2,68,112
1003,3,0,122,167
1005,38,3,398,427
1006,107,6,195,275
1007,174,22,393,586
1008,189,5,760,934
1009,140,6,240,392
1011,1,1,227,226
1012,9,4,185,175
1013,35,17,812,830
1015,4,-1,261,260
1016,35,2,310,371
1018,30,25,327,296
1019,10,7,316,305
1021,4,NA,252,248
1022,4,1,169,166
1024,4,3,128,124
1027,3,1,216,212
1028,3,3,289,286
1030,3,NA,156,153
1036,12,10,142,129
1037,8,4,349,341
1039,84,8,230,308
1042,19,13,245,226
1044,152,2,253,378
1046,0,4,345,337
1047,10,9,327,317
1048,4,NA,131,127
1052,16,7,175,159
1054,22,16,204,182
1055,9,2,244,237
1056,2,30,610,613
1057,74,11,372,431
1066,38,4,395,425
1068,1,NA,116,116
1071,12,13,236,225
1072,2,4,101,99
1073,8,7,124,116
1077,26,NA,263,287
1079,10,3,309,299
1080,5,3,216,212
1081,13,7,207,197
1082,11,3,213,203
1083,9,10,256,245
1084,22,29,525,545
1085,19,18,369,350
1087,24,12,596,570
1088,1,NA,263,259
1089,26,17,348,323
1090,22,15,530,511
1091,74,4,388,448
1092,6,2,273,267
1093,8,8,202,194
1094,10,9,185,175
1095,0,2,296,285
1096,17,12,380,361
1097,4,1,121,117
1098,23,13,258,235
1101,0,1,117,116
1107,7,4,200,193
1109,29,13,554,526
1110,23,9,374,350
1111,7,5,205,198
1112,14,7,342,328
1114,6,6,125,118
1116,21,10,314,293
1117,3,5,182,180
1118,7,3,129,122
1120,25,14,370,345
1121,22,20,120,98
1122,6,2,54,48
1123,93,11,418,489
1124,22,14,235,257
1125,4,10,220,217
1126,108,6,244,319
1127,8,7,108,100
1128,17,14,376,359
1129,1,9,254,245
1131,33,3,248,269
1133,82,52,610,530
1134,6,4,421,417
1135,25,7,534,513
1136,3,2,103,100
1139,122,NA,146,248
1140,72,4,298,364
1141,7,4,255,252
1142,75,2,311,371
1145,2,2,105,102
1146,3,NA,374,370
1147,84,3,244,318
1149,16,5,335,320
1152,157,6,607,733
1156,73,3,283,368
1157,17,11,172,155
1161,10,7,43,33
1162,32,23,572,540
1163,4,4,142,138
1166,6,5,106,100
1167,4,2,229,225
1168,14,9,240,225
1169,7,8,75,68
1170,29,26,496,465
1171,17,13,304,286
1174,1,0,68,67
1177,4,4,564,561
1178,8,6,314,306
1179,2,2,173,171
1204,7,3,274,272
1218,33,NA,55,53
1219,20,NA,58,58
1220,14,NA,54,53
1221,53,NA,89,87
1223,15,5,252,266
1224,20,3,187,183
1232,30,26,429,399
1235,21,-1,225,244
1248,20,6,238,218
1251,4,1,257,252
1252,1,NA,39,38
1254,5,3,206,201
1258,2,NA,74,72
1260,0,-1,133,130
1264,2,2,224,224
1265,4,NA,178,174
1269,6,6,138,135
1270,78,10,187,233
