"Statistic","BNT162b2","Placebo","Total"
"AGETR01 >= 16",22085,22080,44165
"AGETR01 >= 16 & AGETR01 <= 55",13104,13132,26236
"AGETR01 > 55",8981,8948,17929
"AGETR01 >= 16 & AGETR01 <= 17",378,377,755
"SEX = M",11357,11127,22484
"SEX = F",10728,10953,21681
"ETHNIC = 'HISPANIC OR LATINO'",5715,5710,11425
"ETHNIC = 'NOT HISPANIC OR LATINO'",16259,16256,32515
"ETHNIC = 'NOT REPORTED'",111,114,225
"RACE = 'WHITE'",18106,18105,36211
"RACE = 'BLACK OR AFRICAN AMERICAN'",2106,2126,4232
"RACE != 'WHITE' & RACE != 'BLACK OR AFRICAN AMERICAN'",1873,1849,3722
