"ORISITEID","Country","Site_Name","Investigator","Latitude","Longitude","Subjects_Screened"
"1001","USA","NYU Langone Health, Schwartz Health Care Center","Mark Mulligan","40.741560","-73.975072",149
"1002","USA","University of Maryland, Center for Vaccine Development and Global Health","Kathleen Neuzil","39.289164","-76.625810",87
"1003","USA","Rochester Regional Health/Rochester General Hospital, Infectious Desease Department","Edward Walsh","43.192742","-77.585667",209
"1005","USA","Rochester Clinical Research, Inc.","Matthew Davis","43.179476","-77.545020",442
"1006","USA","J. Lewis Research Inc. / Foothill Family Clinic","James Peterson","40.721491","-111.811763",296
"1007","USA","Cincinnati Children's Hospital Medical Center","Robert Frenck","39.129639","-84.497039",660
"1008","USA","Clinical Research Professionals","Timothy Jennings","38.669244","-90.634202",942
"1009","USA","J. Lewis Research Inc. / Foothill Family Clinic","Shane Christensen","40.721491","-111.811763",413
"1011","USA","Clinical Neuroscience Solutions, Inc","Michael Dever","39.129639","-84.497039",236
"1012","USA","HOPE Research Institute","Susann Varano","33.510857","-111.997874",188
"1013","USA","Clinical Neuroscience Solutions, Inc","Michael Dever","28.537427","-81.368636",884
"1015","USA","Boston Medical Center","Elizabeth Barnett","42.334403","-71.072164",266
"1016","USA","Kentucky Pediatric / Adult Research","Daniel Finn","37.808380","-85.470766",386
"1018","USA","Texas Center for Drug Development, Inc","Veronica Fragoso","29.709729","-95.474237",351
"1019","USA","Diagnostics Research Group","Charles Andrews","29.510245","-98.571134",323
"1021","USA","PMG Research of Raleigh, LLC","John Rubino","35.829084","-78.634895",252
"1022","USA","Wenatchee Valley Hospital, Clinical Research Department","Steven Kaster","47.433778","-120.322236",177
"1024","USA","South Jersey Infectious Disease","Christopher Lucasti","39.313707","-74.595725",132
"1027","USA","PharmQuest","Alexander Murray","36.091044","-79.816062",216
"1028","USA","Lillestol Research LLC","Michael Lillestol","46.833424","-96.860613",296
"1030","USA","University Hospitals Cleveland Medical Center","Robert Salata","41.506408","-81.605679",158
"1036","USA","Trinity Clinical Research","Marcus Lee","35.369091","-86.215992",145
"1037","USA","Clinical Neuroscience Solutions, Inc.","Lisa Usdan","35.099988","-89.849212",360
"1038","USA","Holston Medical Group","Rick Whiles","36.585121","-82.250162",141
"1039","USA","Arc Clinical Research at Wilson Parke","Gretchen Crook","30.417878","-97.849751",334
"1042","USA","Benchmark Research","William Seger","32.822397","-97.419301",269
"1044","USA","Virginia Research Center, LLC","Aaron Hartman","37.466735","-77.662634",384
"1046","USA","North Alabama Research Center, LLC","Ernest Hendrix","34.803263","-86.980871",348
"1047","USA","Medical Affliated Research Center","James McMurray","34.725469","-86.585356",332
"1048","USA","Medical Affliated Research Center","Adram Burgher","33.624359","-112.112400",133
"1052","USA","Long Beach Clinical Trials Services Inc.","Suzanne Fussell","33.800783","-118.185179",178
"1054","USA","National Research Institute","Mark Leibowitz","34.057204","-118.274872",214
"1055","USA","Diablo Clinical Research, Inc.","Helen Stacey","37.922378","-122.030085",247
"1056","USA","Indago Research & Health Center, Inc.","Jose Cardona","25.855318","-80.307033",643
"1057","USA","Clinical Neurscience Solutions, Inc.","Fadi Chalhoub","30.243625","-81.586714",454
"1066","USA","Solaris Clinical Research","David Butuk","43.641029","-116.375658",434
"1068","USA","Bozeman Health Deaconess Hospital dba Bozeman Health Clinical Research","Andrew Gentry","45.668781","-111.018619",118
"1071","USA","Quality Clinical Research, Inc.","Michael Dunn","41.262811","-96.069489",249
"1072","USA","Optimal Research, LLC","Randle Middleton","34.673102","-86.535652",101
"1073","USA","Alliance for Multispecialty Research, LLC","Corey Anderson","33.412682","-111.942122",130
"1077","USA","Meridian Clinical Research LLC","Suchet Patel","42.114451","-76.017445",298
"1079","USA","PMG Research of Charlotte, LLC","George Raad","35.169344","-80.847823",316
"1080","USA","PMG Research of Raleigh, LLC, d/b/a PMG","Sylvia Shoffner","35.737095","-78.776400",223
"1081","USA","Sterling Research Group, Ltd.","Michael Butcher","39.123140","-84.508043",212
"1082","USA","Alliance for Multispecialty Research, LLC","William Smith","35.941513","-83.945188",224
"1083","USA","Benchmark Research","Laurence Chu","30.290425","-97.728125",280
"1084","USA","Clinical Trials of Texas, Inc.","Douglas Denham","29.506873","-98.563588",597
"1085","USA","Ventavia Research Group, LLC","Gregory Fuller","32.937803","-97.229835",375
"1087","USA","PMG Research of Hickory, LLC","Kevin Cannon","34.208389","-77.927732",601
"1088","USA","PMG Research of Hickory, LLC","John Earl","35.750340","-81.341019",262
"1089","USA","PMG Research of Salisbury, LLC","Cecil Farrington","35.680044","-80.471300",353
"1090","USA","M3 Wake Research, Inc","Lisa Cohen","35.823982","-78.705544",564
"1091","USA","Aventiv Research Inc (Facility and Drug Shipment Address)","Samir Arora","39.984484","-82.826839",464
"1092","USA","Sterling Research Group, Ltd.","Rajesh Davit","39.292321","-84.487138",277
"1093","USA","Meridian Clinical Research, LLC","David Ensz","42.455354","-96.345013",227
"1094","USA","LinQ Research, LLC","Murtaza Mussaji","29.582949","-95.387597",190
"1095","USA","Tekton Research, Inc.","Paul Pickrell","30.230984","-97.802824",315
"1096","USA","Dr Van Tran Family Practice, Hany H. Ahmed MD & Ventavia Research Group, LLC","Van Tran","29.810730","-95.434200",393
"1097","USA","Main Street Physician's Care","Tom Christensen","33.868737","-78.671005",123
"1098","USA","SMS Clinical Research, LLC","Salma Saiger","32.779964","-96.600121",263
"1101","USA","Methodist Physicians Clinic / CCT Research","Thomas Wolf","41.451665","-96.500113",120
"1107","USA","Alliance for Multispecialty Research, LLC","Harry Studdard","30.683890","-88.130755",219
"1109","USA","DeLand Clinical Research Unit","Bruce Rankin","29.044612","-81.314699",558
"1110","USA","Alliance for Multispecialty Research, LLC-Miami","Jeffrey Rosen","25.753515","-80.262393",380
"1111","USA","Fleming Island Center for Clinical Research","Michael Stephens","30.100353","-81.704563",207
"1112","USA","Clinical Research Atlanta","Nathan Segall","33.505802","-84.226060",350
"1114","USA","Alliance for Multispeciality Research, LLC","Richard Glover","38.022490","-97.332772",127
"1116","USA","MedPharmics, LLC","Paul Matherne","30.443989","-89.093605",326
"1117","USA","Sundance Clinical Research, LLC","Larkin Wadsworth","38.668863","-90.438865",195
"1118","USA","Meridian Clinical Research, LLC","Frank Eder","42.160032","-75.893706",130
"1120","USA","Meridian Clinical Research, LLC","Paul Bradley","32.008920","-81.106783",434
"1121","USA","Optimal Research, LLC","Daniel Brune","40.747241","-89.608416",122
"1122","USA","VA Northeast Ohio Healthcare System","Curtis Donskey","41.514240","-81.613110",57
"1123","USA","Meridian Clinical Research, LLC","Brandon Essink","41.289274","-96.079164",522
"1124","USA","Omega Medical Research","David Fried","41.724736","-71.478541",275
"1125","USA","Meridian Clinical Research, LLC","Charles Harper","42.048817","-97.426160",255
"1126","USA","Kaiser Permanente Sacramento","Nicola Klein","38.595565","-121.429578",324
"1127","USA","Alliance for Multispecialty Research, LLC","Tracy Klein","38.595276","-121.429798",114
"1128","USA","Ventavia Research Group, LLC","Mark Koch","32.730420","-97.342842",385
"1129","USA","Jacksonville Center for Clinical Research","Michael Koren","30.283314","-81.601679",263
"1130","USA","Kaiser Permanente Northwest-Center for Health","Stephen Fortmann","45.550319","-122.680840",98
"1131","USA","PriMED Clinical Research","William Randall","39.724205","-84.153467",302
"1133","USA","Research Centers of America","Howard Schwartz","26.032258","-80.234138",648
"1134","USA","PMG Research of Winston-Salem, LLC","Jonathan Wilson","36.077265","-80.295588",439
"1135","USA","Anaheim Clinical Trials, LLC","Peter Winkle","33.850280","-117.924733",570
"1136","USA","Wake Research-Clinical Center of Nevada, LLC","Michael Levin","36.145827","-115.140502",111
"1139","USA","Duke Vaccine and Trials Unit","Emmanuel Walter","36.008967","-78.944857",262
