"Notes"	"State"	"State Code"	"Yearly July 1st Estimates"	"Yearly July 1st Estimates Code"	"Age Group"	"Age Group Code"	Population
	"Alabama"	"01"	"2020"	"2020"	"0-4 years"	"0-4"	292324
	"Alabama"	"01"	"2020"	"2020"	"5-9 years"	"5-9"	301405
	"Alabama"	"01"	"2020"	"2020"	"10-14 years"	"10-14"	324611
	"Alabama"	"01"	"2020"	"2020"	"15-19 years"	"15-19"	334621
	"Alabama"	"01"	"2020"	"2020"	"20-24 years"	"20-24"	340893
	"Alabama"	"01"	"2020"	"2020"	"25-29 years"	"25-29"	330296
	"Alabama"	"01"	"2020"	"2020"	"30-34 years"	"30-34"	322479
	"Alabama"	"01"	"2020"	"2020"	"35-39 years"	"35-39"	311120
	"Alabama"	"01"	"2020"	"2020"	"40-44 years"	"40-44"	301617
	"Alabama"	"01"	"2020"	"2020"	"45-49 years"	"45-49"	310445
	"Alabama"	"01"	"2020"	"2020"	"50-54 years"	"50-54"	314657
	"Alabama"	"01"	"2020"	"2020"	"55-59 years"	"55-59"	341389
	"Alabama"	"01"	"2020"	"2020"	"60-64 years "	"60-64"	329933
	"Alabama"	"01"	"2020"	"2020"	"65-69 years"	"65-69"	286006
	"Alabama"	"01"	"2020"	"2020"	"70-74 years"	"70-74"	236378
	"Alabama"	"01"	"2020"	"2020"	"75-79 years"	"75-79"	158085
	"Alabama"	"01"	"2020"	"2020"	"80-84 years"	"80-84"	102234
	"Alabama"	"01"	"2020"	"2020"	"85+ years"	"85+"	92869
"Total"	"Alabama"	"01"	"2020"	"2020"			5031362
	"Alabama"	"01"	"2021"	"2021"	"0-4 years"	"0-4"	290239
	"Alabama"	"01"	"2021"	"2021"	"5-9 years"	"5-9"	303273
	"Alabama"	"01"	"2021"	"2021"	"10-14 years"	"10-14"	322310
	"Alabama"	"01"	"2021"	"2021"	"15-19 years"	"15-19"	332610
	"Alabama"	"01"	"2021"	"2021"	"20-24 years"	"20-24"	351850
	"Alabama"	"01"	"2021"	"2021"	"25-29 years"	"25-29"	324479
	"Alabama"	"01"	"2021"	"2021"	"30-34 years"	"30-34"	330321
	"Alabama"	"01"	"2021"	"2021"	"35-39 years"	"35-39"	310540
	"Alabama"	"01"	"2021"	"2021"	"40-44 years"	"40-44"	306954
	"Alabama"	"01"	"2021"	"2021"	"45-49 years"	"45-49"	300011
	"Alabama"	"01"	"2021"	"2021"	"50-54 years"	"50-54"	318776
	"Alabama"	"01"	"2021"	"2021"	"55-59 years"	"55-59"	333875
	"Alabama"	"01"	"2021"	"2021"	"60-64 years "	"60-64"	331923
	"Alabama"	"01"	"2021"	"2021"	"65-69 years"	"65-69"	291134
	"Alabama"	"01"	"2021"	"2021"	"70-74 years"	"70-74"	245537
	"Alabama"	"01"	"2021"	"2021"	"75-79 years"	"75-79"	160176
	"Alabama"	"01"	"2021"	"2021"	"80-84 years"	"80-84"	103093
	"Alabama"	"01"	"2021"	"2021"	"85+ years"	"85+"	92745
"Total"	"Alabama"	"01"	"2021"	"2021"			5049846
"Total"	"Alabama"	"01"					10081208
	"Alaska"	"02"	"2020"	"2020"	"0-4 years"	"0-4"	48979
	"Alaska"	"02"	"2020"	"2020"	"5-9 years"	"5-9"	50986
	"Alaska"	"02"	"2020"	"2020"	"10-14 years"	"10-14"	50315
	"Alaska"	"02"	"2020"	"2020"	"15-19 years"	"15-19"	46553
	"Alaska"	"02"	"2020"	"2020"	"20-24 years"	"20-24"	51289
	"Alaska"	"02"	"2020"	"2020"	"25-29 years"	"25-29"	57142
	"Alaska"	"02"	"2020"	"2020"	"30-34 years"	"30-34"	57537
	"Alaska"	"02"	"2020"	"2020"	"35-39 years"	"35-39"	54239
	"Alaska"	"02"	"2020"	"2020"	"40-44 years"	"40-44"	45094
	"Alaska"	"02"	"2020"	"2020"	"45-49 years"	"45-49"	41885
	"Alaska"	"02"	"2020"	"2020"	"50-54 years"	"50-54"	42903
	"Alaska"	"02"	"2020"	"2020"	"55-59 years"	"55-59"	47098
	"Alaska"	"02"	"2020"	"2020"	"60-64 years "	"60-64"	44883
	"Alaska"	"02"	"2020"	"2020"	"65-69 years"	"65-69"	37227
	"Alaska"	"02"	"2020"	"2020"	"70-74 years"	"70-74"	26117
	"Alaska"	"02"	"2020"	"2020"	"75-79 years"	"75-79"	15370
	"Alaska"	"02"	"2020"	"2020"	"80-84 years"	"80-84"	8224
	"Alaska"	"02"	"2020"	"2020"	"85+ years"	"85+"	7082
"Total"	"Alaska"	"02"	"2020"	"2020"			732923
	"Alaska"	"02"	"2021"	"2021"	"0-4 years"	"0-4"	47911
	"Alaska"	"02"	"2021"	"2021"	"5-9 years"	"5-9"	50738
	"Alaska"	"02"	"2021"	"2021"	"10-14 years"	"10-14"	50419
	"Alaska"	"02"	"2021"	"2021"	"15-19 years"	"15-19"	45560
	"Alaska"	"02"	"2021"	"2021"	"20-24 years"	"20-24"	52408
	"Alaska"	"02"	"2021"	"2021"	"25-29 years"	"25-29"	55814
	"Alaska"	"02"	"2021"	"2021"	"30-34 years"	"30-34"	58028
	"Alaska"	"02"	"2021"	"2021"	"35-39 years"	"35-39"	55157
	"Alaska"	"02"	"2021"	"2021"	"40-44 years"	"40-44"	46592
	"Alaska"	"02"	"2021"	"2021"	"45-49 years"	"45-49"	40792
	"Alaska"	"02"	"2021"	"2021"	"50-54 years"	"50-54"	42641
	"Alaska"	"02"	"2021"	"2021"	"55-59 years"	"55-59"	45025
	"Alaska"	"02"	"2021"	"2021"	"60-64 years "	"60-64"	44899
	"Alaska"	"02"	"2021"	"2021"	"65-69 years"	"65-69"	38047
	"Alaska"	"02"	"2021"	"2021"	"70-74 years"	"70-74"	28037
	"Alaska"	"02"	"2021"	"2021"	"75-79 years"	"75-79"	16008
	"Alaska"	"02"	"2021"	"2021"	"80-84 years"	"80-84"	8820
	"Alaska"	"02"	"2021"	"2021"	"85+ years"	"85+"	7286
"Total"	"Alaska"	"02"	"2021"	"2021"			734182
"Total"	"Alaska"	"02"					1467105
	"Arizona"	"04"	"2020"	"2020"	"0-4 years"	"0-4"	402572
	"Arizona"	"04"	"2020"	"2020"	"5-9 years"	"5-9"	436773
	"Arizona"	"04"	"2020"	"2020"	"10-14 years"	"10-14"	474658
	"Arizona"	"04"	"2020"	"2020"	"15-19 years"	"15-19"	483652
	"Arizona"	"04"	"2020"	"2020"	"20-24 years"	"20-24"	497930
	"Arizona"	"04"	"2020"	"2020"	"25-29 years"	"25-29"	499893
	"Arizona"	"04"	"2020"	"2020"	"30-34 years"	"30-34"	480920
	"Arizona"	"04"	"2020"	"2020"	"35-39 years"	"35-39"	461322
	"Arizona"	"04"	"2020"	"2020"	"40-44 years"	"40-44"	431087
	"Arizona"	"04"	"2020"	"2020"	"45-49 years"	"45-49"	422715
	"Arizona"	"04"	"2020"	"2020"	"50-54 years"	"50-54"	416870
	"Arizona"	"04"	"2020"	"2020"	"55-59 years"	"55-59"	437668
	"Arizona"	"04"	"2020"	"2020"	"60-64 years "	"60-64"	430608
	"Arizona"	"04"	"2020"	"2020"	"65-69 years"	"65-69"	396859
	"Arizona"	"04"	"2020"	"2020"	"70-74 years"	"70-74"	355601
	"Arizona"	"04"	"2020"	"2020"	"75-79 years"	"75-79"	249073
	"Arizona"	"04"	"2020"	"2020"	"80-84 years"	"80-84"	157424
	"Arizona"	"04"	"2020"	"2020"	"85+ years"	"85+"	144318
"Total"	"Arizona"	"04"	"2020"	"2020"			7179943
	"Arizona"	"04"	"2021"	"2021"	"0-4 years"	"0-4"	396406
	"Arizona"	"04"	"2021"	"2021"	"5-9 years"	"5-9"	438860
	"Arizona"	"04"	"2021"	"2021"	"10-14 years"	"10-14"	470392
	"Arizona"	"04"	"2021"	"2021"	"15-19 years"	"15-19"	474532
	"Arizona"	"04"	"2021"	"2021"	"20-24 years"	"20-24"	512440
	"Arizona"	"04"	"2021"	"2021"	"25-29 years"	"25-29"	502509
	"Arizona"	"04"	"2021"	"2021"	"30-34 years"	"30-34"	496440
	"Arizona"	"04"	"2021"	"2021"	"35-39 years"	"35-39"	467524
	"Arizona"	"04"	"2021"	"2021"	"40-44 years"	"40-44"	443570
	"Arizona"	"04"	"2021"	"2021"	"45-49 years"	"45-49"	417650
	"Arizona"	"04"	"2021"	"2021"	"50-54 years"	"50-54"	427841
	"Arizona"	"04"	"2021"	"2021"	"55-59 years"	"55-59"	433697
	"Arizona"	"04"	"2021"	"2021"	"60-64 years "	"60-64"	440049
	"Arizona"	"04"	"2021"	"2021"	"65-69 years"	"65-69"	405498
	"Arizona"	"04"	"2021"	"2021"	"70-74 years"	"70-74"	370966
	"Arizona"	"04"	"2021"	"2021"	"75-79 years"	"75-79"	256359
	"Arizona"	"04"	"2021"	"2021"	"80-84 years"	"80-84"	163602
	"Arizona"	"04"	"2021"	"2021"	"85+ years"	"85+"	146542
"Total"	"Arizona"	"04"	"2021"	"2021"			7264877
"Total"	"Arizona"	"04"					14444820
	"Arkansas"	"05"	"2020"	"2020"	"0-4 years"	"0-4"	181906
	"Arkansas"	"05"	"2020"	"2020"	"5-9 years"	"5-9"	189810
	"Arkansas"	"05"	"2020"	"2020"	"10-14 years"	"10-14"	204177
	"Arkansas"	"05"	"2020"	"2020"	"15-19 years"	"15-19"	203339
	"Arkansas"	"05"	"2020"	"2020"	"20-24 years"	"20-24"	204224
	"Arkansas"	"05"	"2020"	"2020"	"25-29 years"	"25-29"	197065
	"Arkansas"	"05"	"2020"	"2020"	"30-34 years"	"30-34"	193691
	"Arkansas"	"05"	"2020"	"2020"	"35-39 years"	"35-39"	191516
	"Arkansas"	"05"	"2020"	"2020"	"40-44 years"	"40-44"	182252
	"Arkansas"	"05"	"2020"	"2020"	"45-49 years"	"45-49"	180033
	"Arkansas"	"05"	"2020"	"2020"	"50-54 years"	"50-54"	178987
	"Arkansas"	"05"	"2020"	"2020"	"55-59 years"	"55-59"	196244
	"Arkansas"	"05"	"2020"	"2020"	"60-64 years "	"60-64"	188276
	"Arkansas"	"05"	"2020"	"2020"	"65-69 years"	"65-69"	166232
	"Arkansas"	"05"	"2020"	"2020"	"70-74 years"	"70-74"	139180
	"Arkansas"	"05"	"2020"	"2020"	"75-79 years"	"75-79"	96057
	"Arkansas"	"05"	"2020"	"2020"	"80-84 years"	"80-84"	62117
	"Arkansas"	"05"	"2020"	"2020"	"85+ years"	"85+"	59089
"Total"	"Arkansas"	"05"	"2020"	"2020"			3014195
	"Arkansas"	"05"	"2021"	"2021"	"0-4 years"	"0-4"	180104
	"Arkansas"	"05"	"2021"	"2021"	"5-9 years"	"5-9"	190921
	"Arkansas"	"05"	"2021"	"2021"	"10-14 years"	"10-14"	202468
	"Arkansas"	"05"	"2021"	"2021"	"15-19 years"	"15-19"	202062
	"Arkansas"	"05"	"2021"	"2021"	"20-24 years"	"20-24"	210058
	"Arkansas"	"05"	"2021"	"2021"	"25-29 years"	"25-29"	195301
	"Arkansas"	"05"	"2021"	"2021"	"30-34 years"	"30-34"	198364
	"Arkansas"	"05"	"2021"	"2021"	"35-39 years"	"35-39"	191232
	"Arkansas"	"05"	"2021"	"2021"	"40-44 years"	"40-44"	186862
	"Arkansas"	"05"	"2021"	"2021"	"45-49 years"	"45-49"	175861
	"Arkansas"	"05"	"2021"	"2021"	"50-54 years"	"50-54"	181529
	"Arkansas"	"05"	"2021"	"2021"	"55-59 years"	"55-59"	191621
	"Arkansas"	"05"	"2021"	"2021"	"60-64 years "	"60-64"	190401
	"Arkansas"	"05"	"2021"	"2021"	"65-69 years"	"65-69"	168879
	"Arkansas"	"05"	"2021"	"2021"	"70-74 years"	"70-74"	144059
	"Arkansas"	"05"	"2021"	"2021"	"75-79 years"	"75-79"	96591
	"Arkansas"	"05"	"2021"	"2021"	"80-84 years"	"80-84"	63102
	"Arkansas"	"05"	"2021"	"2021"	"85+ years"	"85+"	58707
"Total"	"Arkansas"	"05"	"2021"	"2021"			3028122
"Total"	"Arkansas"	"05"					6042317
	"California"	"06"	"2020"	"2020"	"0-4 years"	"0-4"	2269140
	"California"	"06"	"2020"	"2020"	"5-9 years"	"5-9"	2435399
	"California"	"06"	"2020"	"2020"	"10-14 years"	"10-14"	2578451
	"California"	"06"	"2020"	"2020"	"15-19 years"	"15-19"	2628849
	"California"	"06"	"2020"	"2020"	"20-24 years"	"20-24"	2662448
	"California"	"06"	"2020"	"2020"	"25-29 years"	"25-29"	2938880
	"California"	"06"	"2020"	"2020"	"30-34 years"	"30-34"	2984634
