"Notes"	"State"	"State Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Jan., 2020"	"2020/01"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Feb., 2020"	"2020/02"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Mar., 2020"	"2020/03"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Apr., 2020"	"2020/04"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"May, 2020"	"2020/05"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Jun., 2020"	"2020/06"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Jul., 2020"	"2020/07"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Aug., 2020"	"2020/08"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Sep., 2020"	"2020/09"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Oct., 2020"	"2020/10"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Nov., 2020"	"2020/11"	32	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2020"	"2020"	"Dec., 2020"	"2020/12"	29	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Jan., 2021"	"2021/01"	46	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Feb., 2021"	"2021/02"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Mar., 2021"	"2021/03"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Apr., 2021"	"2021/04"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"May, 2021"	"2021/05"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Jun., 2021"	"2021/06"	35	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Jul., 2021"	"2021/07"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Aug., 2021"	"2021/08"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Sep., 2021"	"2021/09"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Oct., 2021"	"2021/10"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Nov., 2021"	"2021/11"	41	Not Applicable	Not Applicable
	"Alabama"	"01"	"< 1 year"	"1"	"2021"	"2021"	"Dec., 2021"	"2021/12"	34	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020"	"2020"	"Jan., 2020"	"2020/01"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020"	"2020"	"May, 2020"	"2020/05"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2020"	"2020"	"Oct., 2020"	"2020/10"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Feb., 2021"	"2021/02"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Mar., 2021"	"2021/03"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Jun., 2021"	"2021/06"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Jul., 2021"	"2021/07"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"1-4 years"	"1-4"	"2021"	"2021"	"Dec., 2021"	"2021/12"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2021"	"2021"	"May, 2021"	"2021/05"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2021"	"2021"	"Sep., 2021"	"2021/09"	10	Not Applicable	Not Applicable
	"Alabama"	"01"	"10-14 years"	"10-14"	"2021"	"2021"	"Dec., 2021"	"2021/12"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Jan., 2020"	"2020/01"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Feb., 2020"	"2020/02"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Mar., 2020"	"2020/03"	15	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Apr., 2020"	"2020/04"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"May, 2020"	"2020/05"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Jun., 2020"	"2020/06"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Jul., 2020"	"2020/07"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Aug., 2020"	"2020/08"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Sep., 2020"	"2020/09"	22	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Oct., 2020"	"2020/10"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Nov., 2020"	"2020/11"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2020"	"2020"	"Dec., 2020"	"2020/12"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Jan., 2021"	"2021/01"	23	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Feb., 2021"	"2021/02"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Mar., 2021"	"2021/03"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Apr., 2021"	"2021/04"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"May, 2021"	"2021/05"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Jun., 2021"	"2021/06"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Jul., 2021"	"2021/07"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Aug., 2021"	"2021/08"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Sep., 2021"	"2021/09"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Oct., 2021"	"2021/10"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Nov., 2021"	"2021/11"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-19 years"	"15-19"	"2021"	"2021"	"Dec., 2021"	"2021/12"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Jan., 2020"	"2020/01"	31	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Feb., 2020"	"2020/02"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Mar., 2020"	"2020/03"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Apr., 2020"	"2020/04"	38	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"May, 2020"	"2020/05"	40	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Jun., 2020"	"2020/06"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Jul., 2020"	"2020/07"	45	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Aug., 2020"	"2020/08"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Sep., 2020"	"2020/09"	36	Not Applicable	Not Applicable
	"Alabama"	"01"	"20-24 years"	"20-24"	"2020"	"2020"	"Oct., 2020"	"2020/10"	49	Not Applicable	Not Applicable
