state,year,month,age_group,deaths,population,daily_chance_to_die,days_in_month
Alabama,2020,01,10-14 years,0,324611,0,31
Alabama,2020,01,15-19 years,26,334621,2.506446628930506e-6,31
Alabama,2020,01,20-24 years,31,340893,2.9334717932019725e-6,31
Alabama,2020,01,25-29 years,31,330296,3.027587376171676e-6,31
Alabama,2020,01,30-34 years,49,322479,4.901544476664597e-6,31
Alabama,2020,01,35-39 years,54,311120,5.598918371917485e-6,31
Alabama,2020,01,40-44 years,85,301617,9.090785611789016e-6,31
Alabama,2020,01,45-49 years,125,310445,1.29886390971545e-5,31
Alabama,2020,01,50-54 years,189,314657,1.937593695213641e-5,31
Alabama,2020,01,55-59 years,307,341389,2.9008625955879107e-5,31
Alabama,2020,01,60-64 years,434,329933,4.243285758017537e-5,31
Alabama,2020,01,65-69 years,491,286006,5.537894197121513e-5,31
Alabama,2020,01,70-74 years,571,236378,7.792330436296812e-5,31
Alabama,2020,01,75-79 years,597,158085,1.2182094769351319e-4,31
Alabama,2020,01,80-84 years,609,102234,1.921587856322024e-4,31
Alabama,2020,01,85+ years,1194,92869,4.1473612327319197e-4,31
Alabama,2020,05,10-14 years,0,324611,0,31
Alabama,2020,05,15-19 years,21,334621,2.0244376618284857e-6,31
Alabama,2020,05,20-24 years,40,340893,3.785124894454158e-6,31
Alabama,2020,05,25-29 years,56,330296,5.46919009889077e-6,31
Alabama,2020,05,30-34 years,86,322479,8.602710714146028e-6,31
Alabama,2020,05,35-39 years,95,311120,9.849948987632612e-6,31
Alabama,2020,05,40-44 years,102,301617,1.090894273414682e-5,31
Alabama,2020,05,45-49 years,139,310445,1.4443366676035804e-5,31
Alabama,2020,05,50-54 years,205,314657,2.1016227911047433e-5,31
Alabama,2020,05,55-59 years,332,341389,3.137089191319825e-5,31
Alabama,2020,05,60-64 years,453,329933,4.4290517243823596e-5,31
Alabama,2020,05,65-69 years,507,286006,5.71835510782201e-5,31
Alabama,2020,05,70-74 years,603,236378,8.229028464250398e-5,31
Alabama,2020,05,75-79 years,606,158085,1.2365744439241037e-4,31
Alabama,2020,05,80-84 years,656,102234,2.069887740143264e-4,31
Alabama,2020,05,85+ years,1230,92869,4.27240730005047e-4,31
Alabama,2020,10,10-14 years,0,324611,0,31
Alabama,2020,10,15-19 years,18,334621,1.7352322815672734e-6,31
Alabama,2020,10,20-24 years,49,340893,4.6367779957063434e-6,31
Alabama,2020,10,25-29 years,48,330296,4.68787722762066e-6,31
Alabama,2020,10,30-34 years,63,322479,6.301985755711625e-6,31
Alabama,2020,10,35-39 years,64,311120,6.6357551074577594e-06,31
Alabama,2020,10,40-44 years,93,301617,9.946388963486807e-6,31
Alabama,2020,10,45-49 years,139,310445,1.4443366676035804e-5,31
Alabama,2020,10,50-54 years,192,314657,1.968349150693223e-5,31
Alabama,2020,10,55-59 years,302,341389,2.8536172764415278e-5,31
Alabama,2020,10,60-64 years,462,329933,4.5170461295025395e-5,31
Alabama,2020,10,65-69 years,543,286006,6.124392156898129e-5,31
Alabama,2020,10,70-74 years,681,236378,9.293479907387265e-5,31
Alabama,2020,10,75-79 years,679,158085,1.385534731723542e-4,31
Alabama,2020,10,80-84 years,683,102234,2.155081290423551e-4,31
Alabama,2020,10,85+ years,1249,92869,4.338403835579705e-4,31
Alabama,2020,12,10-14 years,0,324611,0,31
Alabama,2020,12,15-19 years,21,334621,2.0244376618284857e-6,31
Alabama,2020,12,20-24 years,52,340893,4.920662362790405e-6,31
Alabama,2020,12,25-29 years,60,330296,5.859846534525825e-6,31
Alabama,2020,12,30-34 years,59,322479,5.901859675983902e-6,31
Alabama,2020,12,35-39 years,83,311120,8.605744904984282e-6,31
Alabama,2020,12,40-44 years,148,301617,1.582866200640911e-5,31
Alabama,2020,12,45-49 years,185,310445,1.922318586378866e-5,31
Alabama,2020,12,50-54 years,225,314657,2.3066591609686207e-5,31
Alabama,2020,12,55-59 years,388,341389,3.666236765759314e-5,31
Alabama,2020,12,60-64 years,590,329933,5.768522113433979e-5,31
Alabama,2020,12,65-69 years,727,286006,8.199692629953849e-5,31
Alabama,2020,12,70-74 years,932,236378,1.2718830064148212e-4,31
Alabama,2020,12,75-79 years,943,158085,1.924240430066716e-4,31
Alabama,2020,12,80-84 years,975,102234,3.076433760121467e-4,31
Alabama,2020,12,85+ years,1781,92869,6.186306830398283e-4,31
Alabama,2020,02,10-14 years,0,324611,0,29
Alabama,2020,02,15-19 years,22,334621,2.2671042452660546e-6,29
Alabama,2020,02,20-24 years,25,340893,2.5288549941396313e-6,29
Alabama,2020,02,25-29 years,38,330296,3.967183458431852e-6,29
Alabama,2020,02,30-34 years,53,322479,5.667303008557307e-6,29
Alabama,2020,02,35-39 years,73,311120,8.090901836302214e-6,29
Alabama,2020,02,40-44 years,85,301617,9.717736343636535e-6,29
Alabama,2020,02,45-49 years,119,310445,1.3217955759835298e-5,29
Alabama,2020,02,50-54 years,181,314657,1.9835501229417518e-5,29
Alabama,2020,02,55-59 years,317,341389,3.2019293189758956e-5,29
Alabama,2020,02,60-64 years,442,329933,4.619537697152097e-5,29
Alabama,2020,02,65-69 years,487,286006,5.8715913121668294e-5,29
Alabama,2020,02,70-74 years,511,236378,7.454454160358584e-5,29
Alabama,2020,02,75-79 years,565,158085,1.2324229762905814e-4,29
Alabama,2020,02,80-84 years,602,102234,2.0305006836918415e-4,29
Alabama,2020,02,85+ years,1120,92869,4.158620169827651e-4,29
Alabama,2020,07,10-14 years,0,324611,0,31
Alabama,2020,07,15-19 years,16,334621,1.5424286947264652e-6,31
Alabama,2020,07,20-24 years,45,340893,4.258265506260928e-6,31
Alabama,2020,07,25-29 years,53,330296,5.176197772164479e-6,31
Alabama,2020,07,30-34 years,69,322479,6.902174875303208e-6,31
Alabama,2020,07,35-39 years,95,311120,9.849948987632612e-6,31
Alabama,2020,07,40-44 years,102,301617,1.090894273414682e-5,31
Alabama,2020,07,45-49 years,150,310445,1.55863669165854e-5,31
Alabama,2020,07,50-54 years,243,314657,2.49119189384611e-5,31
Alabama,2020,07,55-59 years,345,341389,3.259927021100421e-5,31
Alabama,2020,07,60-64 years,552,329933,5.3969901807043325e-5,31
Alabama,2020,07,65-69 years,631,286006,7.116927165750864e-5,31
Alabama,2020,07,70-74 years,678,236378,9.252539467266617e-5,31
Alabama,2020,07,75-79 years,730,158085,1.4896028779943824e-4,31
Alabama,2020,07,80-84 years,755,102234,2.382264091170982e-4,31
Alabama,2020,07,85+ years,1359,92869,4.7204890412752754e-4,31
Alabama,2020,06,10-14 years,0,324611,0,30
Alabama,2020,06,15-19 years,17,334621,1.6934581710850982e-6,30
Alabama,2020,06,20-24 years,45,340893,4.4002076898029585e-6,30
Alabama,2020,06,25-29 years,49,330296,4.945059381080405e-6,30
Alabama,2020,06,30-34 years,73,322479,7.545710986865294e-6,30
Alabama,2020,06,35-39 years,82,311120,8.785463272477929e-6,30
Alabama,2020,06,40-44 years,119,301617,1.315133651838811e-5,30
Alabama,2020,06,45-49 years,130,310445,1.3958457483075371e-5,30
Alabama,2020,06,50-54 years,234,314657,2.4788897116542776e-5,30
Alabama,2020,06,55-59 years,311,341389,3.0366141459351845e-5,30
Alabama,2020,06,60-64 years,442,329933,4.4655531072470266e-5,30
Alabama,2020,06,65-69 years,452,286006,5.267954751532019e-5,30
Alabama,2020,06,70-74 years,601,236378,8.47512599875341e-5,30
Alabama,2020,06,75-79 years,627,158085,1.322073568017206e-4,30
